Name,2018,2019,2020,2021,2022,2023,2024,2025
MCDONALD'S HOLDINGS - PRICE TO BOOK VAL,4.71,4.18,3.84,3.5,3.29,3.21,3.65,3.16
LEOPALACE21 CORP - RETURN ON ASSETS,4.88,-23.47,-34.33,-12.11,10.95,17.26,31.01,NA
LEOPALACE21 CORP - TOTAL DEBT % COMMON EQUITY,33.78,59.08,2297.2,-436.79,2317.18,130.52,48.14,NA
LEOPALACE21 CORP - TOTAL DEBT % TOTAL CAPITAL/STD,25.24,37.13,95.79,91.53,74.97,49.17,30.11,NA
LEOPALACE21 CORP - BOOK VALUE-OUT SHARES-FISCAL,631.969,333.536,6.444,-24.651,4.336,74.152,201.914,NA
LEOPALACE21 CORP - PRICE TO BOOK VAL,2.87,32.28,-10.38,35.52,2.72,1.86,2.5,2.72
MITSUBISHI ESTATE CO - RETURN ON ASSETS,2.43,2.63,2.84,2.55,2.72,2.75,2.66,NA
MITSUBISHI ESTATE CO - TOTAL DEBT % COMMON EQUITY,146.09,130.98,140.07,136.39,136.7,133.09,130.69,NA
MITSUBISHI ESTATE CO - TOTAL DEBT % TOTAL CAPITAL/STD,55.68,53.09,54.59,54.08,54.12,54.06,53.91,NA
MITSUBISHI ESTATE CO - BOOK VALUE-OUT SHARES-FISCAL,1223.821,1275.76,1296.045,1383.639,1514.734,1664.619,1896.312,NA
MITSUBISHI ESTATE CO - PRICE TO BOOK VAL,1.43,1.44,1.24,1.26,1.1,0.85,1.51,1.29
MEDIPAL HOLDINGS - RETURN ON ASSETS,2.22,2.13,2.34,1.44,1.74,2.28,2.37,NA
MEDIPAL HOLDINGS - TOTAL DEBT % COMMON EQUITY,14.4,11.17,9.11,7.74,7.43,1.42,0.34,NA
MEDIPAL HOLDINGS - TOTAL DEBT % TOTAL CAPITAL/STD,10.87,8.56,6.98,5.96,5.73,1.15,0.28,NA
MEDIPAL HOLDINGS - BOOK VALUE-OUT SHARES-FISCAL,2154.928,2233.52,2382.881,2490.983,2525.715,2673.62,2858.572,NA
MEDIPAL HOLDINGS - PRICE TO BOOK VAL,0.96,1.08,0.87,0.87,0.77,0.67,0.83,0.78
MEITEC GROUP - RETURN ON ASSETS,12.65,13.23,13.33,10.28,13.15,16.48,15.72,NA
MEITEC GROUP - TOTAL DEBT % COMMON EQUITY,0,0,0,0,0,0,0,NA
MEITEC GROUP - TOTAL DEBT % TOTAL CAPITAL/STD,0,0,0,0,0,0,0,NA
MEITEC GROUP - BOOK VALUE-OUT SHARES-FISCAL,474.664,506.134,535.341,544.805,565.198,595.741,617.764,NA
MEITEC GROUP - PRICE TO BOOK VAL,4.06,3.11,2.6,3.45,3.75,3.6,4.71,4.55
MEIJI HOLDINGS - RETURN ON ASSETS,6.88,6.57,6.88,6.49,8.12,6.25,4.4,NA
MEIJI HOLDINGS - TOTAL DEBT % COMMON EQUITY,24.78,22.32,19.29,16.6,12.25,9.72,7.34,NA
MEIJI HOLDINGS - TOTAL DEBT % TOTAL CAPITAL/STD,19.6,17.35,15.37,13.53,10.37,8.43,6.5,NA
MEIJI HOLDINGS - BOOK VALUE-OUT SHARES-FISCAL,1680.343,1817.892,1939.569,2141.387,2390.763,2553.69,2674.722,NA
MEIJI HOLDINGS - PRICE TO BOOK VAL,2.24,2.27,1.75,1.45,1.28,1.19,1.23,1.26
MERCARI INC - RETURN ON ASSETS,-8.07,-9.81,-12.52,2.54,-2.49,3.55,3.06,NA
MERCARI INC - TOTAL DEBT % COMMON EQUITY,53.32,103.48,150.77,179.99,351.24,288.99,269.09,NA
MERCARI INC - TOTAL DEBT % TOTAL CAPITAL/STD,34.78,50.85,59.72,64.06,77.7,74.1,72.82,NA
MERCARI INC - BOOK VALUE-OUT SHARES-FISCAL,402.114,337.872,222.772,251.11,234.333,336.527,438.326,NA
MERCARI INC - PRICE TO BOOK VAL,NA,9.72,9.3,20.95,12.01,6.56,4.09,5.14
MITSUI MINING - RETURN ON ASSETS,-0.13,1.01,0.4,8.24,8.78,1.49,4.4,NA
MITSUI MINING - TOTAL DEBT % COMMON EQUITY,130.35,133.65,149.16,130.38,98.42,90.39,75.71,NA
MITSUI MINING - TOTAL DEBT % TOTAL CAPITAL/STD,55.1,55.85,58.65,55.2,48.54,46.7,42.44,NA
MITSUI MINING - BOOK VALUE-OUT SHARES-FISCAL,2945.142,2977.838,2884.67,3484.167,4196.374,4434.414,4872.277,NA
MITSUI MINING - PRICE TO BOOK VAL,1.6,1.02,0.54,0.93,0.75,0.66,1.04,0.75
MITSUBISHI HEAVY IND - RETURN ON ASSETS,1.41,2.08,1.99,1.1,2.66,2.86,4.19,NA
MITSUBISHI HEAVY IND - TOTAL DEBT % COMMON EQUITY,45,67.6,111.47,89.57,67.38,67.99,50.49,NA
MITSUBISHI HEAVY IND - TOTAL DEBT % TOTAL CAPITAL/STD,27.53,35.61,51.28,45.95,38.99,39.23,32.43,NA
MITSUBISHI HEAVY IND - BOOK VALUE-OUT SHARES-FISCAL,543.736,426.223,362.774,406.473,469.642,518.31,667.863,NA
MITSUBISHI HEAVY IND - PRICE TO BOOK VAL,0.96,1.28,0.66,0.72,0.79,0.76,2.08,3.72
PANASONIC HOLDINGS - RETURN ON ASSETS,4.38,5.12,4.36,2.83,3.74,3.64,5.53,NA
PANASONIC HOLDINGS - TOTAL DEBT % COMMON EQUITY,72.59,52.19,73.63,55.8,59.95,40.27,35.8,NA
PANASONIC HOLDINGS - TOTAL DEBT % TOTAL CAPITAL/STD,39.7,32.39,40.56,34.33,36.18,27.77,25.62,NA
PANASONIC HOLDINGS - BOOK VALUE-OUT SHARES-FISCAL,732.121,820.409,856.572,1111.733,1356.085,1550.226,1946.616,NA
PANASONIC HOLDINGS - PRICE TO BOOK VAL,1.87,1.15,0.74,1.02,0.73,0.63,0.72,0.76
MITSUI FUDOSAN CO. - RETURN ON ASSETS,2.94,2.89,2.89,1.97,2.49,2.77,3.01,NA
MITSUI FUDOSAN CO. - TOTAL DEBT % COMMON EQUITY,118.71,124.62,145.07,142.4,132.71,144.51,146.87,NA
MITSUI FUDOSAN CO. - TOTAL DEBT % TOTAL CAPITAL/STD,53.37,54.68,58.44,57.83,56.03,58.04,58.55,NA
MITSUI FUDOSAN CO. - BOOK VALUE-OUT SHARES-FISCAL,744.086,795.394,827.285,885.966,981.171,1036.25,1110.207,NA
MITSUI FUDOSAN CO. - PRICE TO BOOK VAL,1.13,1.07,0.73,0.83,0.85,0.74,1.4,1.25
TOKIO MARINE - RETURN ON ASSETS,1.3,1.26,1.15,0.67,1.61,1.41,2.48,NA
TOKIO MARINE - TOTAL DEBT % COMMON EQUITY,49.9,41.39,124.47,115.01,76.43,39.53,30.66,NA
TOKIO MARINE - TOTAL DEBT % TOTAL CAPITAL/STD,19.97,17.76,41.13,35.08,29.04,22.4,16.11,NA
TOKIO MARINE - BOOK VALUE-OUT SHARES-FISCAL,892.745,896.529,926.274,845.248,1074.617,1344.213,1647.222,NA
TOKIO MARINE - PRICE TO BOOK VAL,1.84,2,2.02,1.61,1.65,1.59,2.9,2.98
MITSUI E&S - RETURN ON ASSETS,-0.59,-6.64,-9.16,0.37,-3.31,4.36,6.53,NA
MITSUI E&S - TOTAL DEBT % COMMON EQUITY,110.65,133.51,289.86,258.55,263.35,154.27,128.22,NA
MITSUI E&S - TOTAL DEBT % TOTAL CAPITAL/STD,42.6,43.22,63.98,64.59,70.53,57.62,53.81,NA
MITSUI E&S - BOOK VALUE-OUT SHARES-FISCAL,2961.504,1976.438,798.534,836.874,707.587,1114.587,1319.462,NA
MITSUI E&S - PRICE TO BOOK VAL,0.87,1.5,0.68,0.78,0.31,0.32,1.44,1.13
MISUMI GROUP INC - RETURN ON ASSETS,11.35,9.85,6.55,6.34,12.07,9.66,7.27,NA
MISUMI GROUP INC - TOTAL DEBT % COMMON EQUITY,0.06,0,2.46,1.75,2.57,2.45,1.97,NA
MISUMI GROUP INC - TOTAL DEBT % TOTAL CAPITAL/STD,0.06,0,2.39,1.72,2.5,2.39,1.92,NA
MISUMI GROUP INC - BOOK VALUE-OUT SHARES-FISCAL,657.195,722.259,743.487,819.862,981.848,1100.97,1229.787,NA
MISUMI GROUP INC - PRICE TO BOOK VAL,4.15,3.85,2.97,3.29,3.05,2.57,1.82,1.78
MITSUBISHI UFJ FIN - RETURN ON ASSETS,0.4,0.39,0.27,0.3,0.38,0.41,0.54,NA
MITSUBISHI UFJ FIN - TOTAL DEBT % COMMON EQUITY,444.77,448.76,561.72,523.49,556.16,596.35,506.2,NA
MITSUBISHI UFJ FIN - TOTAL DEBT % TOTAL CAPITAL/STD,80.47,80.79,84.2,83.24,84.03,84.9,82.7,NA
MITSUBISHI UFJ FIN - BOOK VALUE-OUT SHARES-FISCAL,1217.431,1252.045,1245.335,1308.122,1349.519,1433.117,1670.447,NA
MITSUBISHI UFJ FIN - PRICE TO BOOK VAL,0.56,0.44,0.33,0.43,0.53,0.51,0.94,0.98
"MIURA CO., LTD. - RETURN ON ASSETS",6.86,7.33,7.76,6.72,7.03,7.62,8.32,NA
"MIURA CO., LTD. - TOTAL DEBT % COMMON EQUITY",6.19,3.02,6.55,5.15,6.16,4.27,3.69,NA
"MIURA CO., LTD. - TOTAL DEBT % TOTAL CAPITAL/STD",5.82,2.93,6.15,4.89,5.81,4.09,3.54,NA
"MIURA CO., LTD. - BOOK VALUE-OUT SHARES-FISCAL",1043.853,1112.72,1182.578,1290.145,1416.086,1504.019,1638.973,NA
"MIURA CO., LTD. - PRICE TO BOOK VAL",2.86,2.22,3.21,4.28,1.79,2.01,1.7,1.65
"MIXI, INC - RETURN ON ASSETS",23.85,14.53,5.69,7.53,4.76,2.43,3.4,NA
"MIXI, INC - TOTAL DEBT % COMMON EQUITY",0.01,0.38,2.01,4.71,4.42,4.28,4.26,NA
"MIXI, INC - TOTAL DEBT % TOTAL CAPITAL/STD",0.01,0.38,1.97,4.5,4.2,4.08,4.06,NA
"MIXI, INC - BOOK VALUE-OUT SHARES-FISCAL",2184.957,2375.422,2400.452,2514.566,2544.893,2495.977,2482.164,NA
"MIXI, INC - PRICE TO BOOK VAL",1.57,1.02,0.67,1.12,0.87,1.09,1.04,1.24
MIZUHO FINANCIAL GRP - RETURN ON ASSETS,0.36,0.17,0.31,0.28,0.31,0.34,0.4,NA
MIZUHO FINANCIAL GRP - TOTAL DEBT % COMMON EQUITY,430.76,382.57,442.84,464.12,494.39,529.62,608.28,NA
MIZUHO FINANCIAL GRP - TOTAL DEBT % TOTAL CAPITAL/STD,79.91,78.45,81.39,82.11,82.99,84.01,85.79,NA
MIZUHO FINANCIAL GRP - BOOK VALUE-OUT SHARES-FISCAL,3574.639,3450.322,3373.049,3650.925,3581.436,3603.985,4037.287,NA
MIZUHO FINANCIAL GRP - PRICE TO BOOK VAL,0.56,0.51,0.35,0.44,0.43,0.48,0.75,0.8
MAKITA CORPORATION - RETURN ON ASSETS,8.81,8.48,7.18,8.46,7.25,1.23,4.29,NA
MAKITA CORPORATION - TOTAL DEBT % COMMON EQUITY,0.64,2.09,3.45,2.5,12.92,26.47,4.64,NA
MAKITA CORPORATION - TOTAL DEBT % TOTAL CAPITAL/STD,0.63,2.03,3.31,2.42,11.36,20.79,4.4,NA
MAKITA CORPORATION - BOOK VALUE-OUT SHARES-FISCAL,2033.165,2109.825,2104.012,2422.797,2748.636,2832.886,3227.059,NA
MAKITA CORPORATION - PRICE TO BOOK VAL,2.4,1.88,1.42,1.78,1.38,0.97,1.32,1.21
MITSUBISHI MOTORS - RETURN ON ASSETS,7.12,7.64,-1.14,-16.6,4.23,8.59,7.12,NA
MITSUBISHI MOTORS - TOTAL DEBT % COMMON EQUITY,4.63,27.54,39.84,96.74,80.46,54.3,49.38,NA
MITSUBISHI MOTORS - TOTAL DEBT % TOTAL CAPITAL/STD,4.34,21.42,28.09,48.35,43.66,34.38,32.32,NA
MITSUBISHI MOTORS - BOOK VALUE-OUT SHARES-FISCAL,524.19,585.993,519.386,341.68,407.948,538.301,679.467,NA
MITSUBISHI MOTORS - PRICE TO BOOK VAL,1.34,1.18,0.94,0.75,0.58,0.75,0.75,0.54
"MONOTARO, CO.,LTD - RETURN ON ASSETS",20.5,20.1,19.71,19.97,18.13,18.37,19.46,NA
"MONOTARO, CO.,LTD - TOTAL DEBT % COMMON EQUITY",17.95,11.72,21.89,16.2,14.27,6.72,1.29,NA
"MONOTARO, CO.,LTD - TOTAL DEBT % TOTAL CAPITAL/STD",15.12,10.39,17.7,13.76,12.42,6.26,1.27,NA
"MONOTARO, CO.,LTD - BOOK VALUE-OUT SHARES-FISCAL",59.605,74.663,94.27,119.53,145.177,174,208.697,NA
"MONOTARO, CO.,LTD - PRICE TO BOOK VAL",16.38,15.84,15.43,25.56,17.49,9.93,9.62,13.44
MITSUI OSK LINES - RETURN ON ASSETS,-1.22,1.96,2.18,4.86,30.13,26.02,7.24,NA
MITSUI OSK LINES - TOTAL DEBT % COMMON EQUITY,217.84,209.9,212.96,177.33,78.46,59.89,55.42,NA
MITSUI OSK LINES - TOTAL DEBT % TOTAL CAPITAL/STD,64.03,62.92,63.1,59.5,42.85,37.32,35.51,NA
MITSUI OSK LINES - BOOK VALUE-OUT SHARES-FISCAL,1430.582,1468.489,1435.36,1613.797,3534.485,5323.87,6497.066,NA
MITSUI OSK LINES - PRICE TO BOOK VAL,0.7,0.61,0.38,0.4,0.56,0.53,0.71,0.77
MARUBENI CORP - RETURN ON ASSETS,3.47,3.91,-2.35,3.64,5.8,7.27,6.31,NA
MARUBENI CORP - TOTAL DEBT % COMMON EQUITY,144.98,121.3,171.61,148.01,119.41,81.52,77.4,NA
MARUBENI CORP - TOTAL DEBT % TOTAL CAPITAL/STD,58.32,53.66,61.84,58.48,53.38,44.03,42.91,NA
MARUBENI CORP - BOOK VALUE-OUT SHARES-FISCAL,1020.813,1139.678,873.107,1047.58,1301.992,1696.756,2066.245,NA
MARUBENI CORP - PRICE TO BOOK VAL,0.69,0.9,0.5,0.7,0.8,0.89,1.3,1.06
MARUICHI STEEL TUBE - RETURN ON ASSETS,5.12,4.53,2.07,4.37,7.97,6.39,6.39,NA
MARUICHI STEEL TUBE - TOTAL DEBT % COMMON EQUITY,3.84,4.02,2.5,2.58,1.08,2.59,1.55,NA
MARUICHI STEEL TUBE - TOTAL DEBT % TOTAL CAPITAL/STD,3.56,3.72,2.35,2.44,1.04,2.45,1.47,NA
MARUICHI STEEL TUBE - BOOK VALUE-OUT SHARES-FISCAL,3127.765,3191.709,3110.908,3288.922,3722.027,3938.927,4356.565,NA
MARUICHI STEEL TUBE - PRICE TO BOOK VAL,1.03,1.03,0.75,0.68,0.71,0.66,0.95,0.75
MS&AD INSURANCE - RETURN ON ASSETS,0.73,0.88,0.68,0.66,1.12,0.68,1.48,NA
MS&AD INSURANCE - TOTAL DEBT % COMMON EQUITY,54.98,59.47,70.54,71.13,59.32,46.99,33.06,NA
MS&AD INSURANCE - TOTAL DEBT % TOTAL CAPITAL/STD,21.22,24.03,29.38,24.87,23.33,21.62,14.15,NA
MS&AD INSURANCE - BOOK VALUE-OUT SHARES-FISCAL,818.362,843.694,861.577,868.875,1032.152,1119.31,1419.515,NA
MS&AD INSURANCE - PRICE TO BOOK VAL,1.39,1.3,1.17,1.03,1.12,0.99,1.95,2.02
"MITSUI & CO., LTD. - RETURN ON ASSETS",4.17,4.09,3.89,3.11,7,8.14,7.5,NA
"MITSUI & CO., LTD. - TOTAL DEBT % COMMON EQUITY",106.35,108.5,129.05,103.86,87.02,79.16,63.33,NA
"MITSUI & CO., LTD. - TOTAL DEBT % TOTAL CAPITAL/STD",50.05,50.52,54.82,49.6,45.7,43.43,38.07,NA
"MITSUI & CO., LTD. - BOOK VALUE-OUT SHARES-FISCAL",1143.552,1226.405,1117.914,1369.639,1750.606,2088.746,2518.398,NA
"MITSUI & CO., LTD. - PRICE TO BOOK VAL",0.75,0.78,0.55,0.65,0.75,0.81,1.46,1.04
J FRONT RETAILIN - RETURN ON ASSETS,2.9,2.76,2.2,-1.66,0.63,1.58,2.97,NA
J FRONT RETAILIN - TOTAL DEBT % COMMON EQUITY,47.91,44.79,123.65,159.81,143.31,115.18,95.42,NA
J FRONT RETAILIN - TOTAL DEBT % TOTAL CAPITAL/STD,29.59,28.29,54.5,60.7,58.1,52.71,48.03,NA
J FRONT RETAILIN - BOOK VALUE-OUT SHARES-FISCAL,1512.285,1576.68,1479.073,1344.906,1338.263,1370.432,1453.708,NA
J FRONT RETAILIN - PRICE TO BOOK VAL,1.04,0.89,0.6,0.76,0.71,0.92,1.11,1.21
BANDAI NAMCO - RETURN ON ASSETS,10.8,11.37,9.78,7.49,11.98,10.44,11.08,NA
BANDAI NAMCO - TOTAL DEBT % COMMON EQUITY,0.38,0.21,1.36,5.36,5.02,3.47,1.94,NA
BANDAI NAMCO - TOTAL DEBT % TOTAL CAPITAL/STD,0.38,0.21,1.33,5.08,4.78,3.35,1.9,NA
BANDAI NAMCO - BOOK VALUE-OUT SHARES-FISCAL,586.332,650.668,681.75,774.66,884.936,987.578,1069.293,NA
BANDAI NAMCO - PRICE TO BOOK VAL,1.77,2.45,2.39,3.18,3.1,2.7,2.68,4.37
NABTESCO CORPORATION - RETURN ON ASSETS,6.74,5.42,5.96,15.66,2.05,3.4,2.47,NA
NABTESCO CORPORATION - TOTAL DEBT % COMMON EQUITY,25.36,28.14,24.42,11.39,12.61,12.45,16.97,NA
NABTESCO CORPORATION - TOTAL DEBT % TOTAL CAPITAL/STD,19.32,20.94,18.6,9.68,10.64,10.52,13.76,NA
NABTESCO CORPORATION - BOOK VALUE-OUT SHARES-FISCAL,1441.385,1509.808,1595.184,1999.71,2072.371,2169.886,2248.448,NA
NABTESCO CORPORATION - PRICE TO BOOK VAL,2.76,2.24,1.74,2.74,1.5,1.41,1.15,0.91
NIDEC CORP - RETURN ON ASSETS,7.97,6.48,3.35,5.82,5.76,1.8,4.59,NA
NIDEC CORP - TOTAL DEBT % COMMON EQUITY,37.06,37.36,63.21,48.49,46.06,52.07,36.82,NA
NIDEC CORP - TOTAL DEBT % TOTAL CAPITAL/STD,26.83,26.85,38.23,32.3,31.13,33.93,26.59,NA
NIDEC CORP - BOOK VALUE-OUT SHARES-FISCAL,788.188,847.476,810.667,935.627,1114.456,1178.329,1420.282,NA
NIDEC CORP - PRICE TO BOOK VAL,4.8,4.75,3.01,6.36,3.75,2.37,2.19,1.47
NANKAI ELEC. RAILWAY - RETURN ON ASSETS,2,1.85,2.6,0.24,0.65,1.88,2.8,NA
NANKAI ELEC. RAILWAY - TOTAL DEBT % COMMON EQUITY,208.06,207.89,191.8,205.82,195.05,182.23,148.16,NA
NANKAI ELEC. RAILWAY - TOTAL DEBT % TOTAL CAPITAL/STD,66.47,66.52,64.68,66.24,64.98,63.41,58.53,NA
NANKAI ELEC. RAILWAY - BOOK VALUE-OUT SHARES-FISCAL,1957.318,2036.795,2157.754,2176.19,2189.359,2306.143,2583.937,NA
NANKAI ELEC. RAILWAY - PRICE TO BOOK VAL,1.33,1.35,1.1,1.13,1,1.14,1.19,0.92
NAGOYA RAILROAD CO. - RETURN ON ASSETS,2.85,2.94,2.73,-2.2,0.96,1.75,2.13,NA
NAGOYA RAILROAD CO. - TOTAL DEBT % COMMON EQUITY,123.65,106.38,104.85,130.15,127.57,122.75,118.62,NA
NAGOYA RAILROAD CO. - TOTAL DEBT % TOTAL CAPITAL/STD,53.35,49.6,49.13,54.3,54.33,53.64,52.85,NA
NAGOYA RAILROAD CO. - BOOK VALUE-OUT SHARES-FISCAL,1892.138,2001.781,2053.097,1891.761,1949.331,2057.888,2227.878,NA
NAGOYA RAILROAD CO. - PRICE TO BOOK VAL,1.35,1.43,1.63,1.32,0.99,0.93,0.95,0.79
NISSAN CHEMICAL CORP - RETURN ON ASSETS,11.34,11.95,12.46,13.04,14.27,14.31,12.37,NA
NISSAN CHEMICAL CORP - TOTAL DEBT % COMMON EQUITY,16.38,14.74,13.38,11.4,11.03,12.49,18.02,NA
NISSAN CHEMICAL CORP - TOTAL DEBT % TOTAL CAPITAL/STD,13.95,12.74,11.71,10.16,9.85,10.97,15.07,NA
NISSAN CHEMICAL CORP - BOOK VALUE-OUT SHARES-FISCAL,1168.069,1220.351,1264.237,1384.139,1454.012,1557.122,1641.047,NA
NISSAN CHEMICAL CORP - PRICE TO BOOK VAL,3.85,4.07,2.82,4.2,4.59,3.64,3.38,2.44
NISSHINBO HOLD - RETURN ON ASSETS,-1.07,-0.89,2.4,4.43,3.51,-2.45,1.7,NA
NISSHINBO HOLD - TOTAL DEBT % COMMON EQUITY,73.49,69.16,65.87,50.87,55.69,86.57,80.92,NA
NISSHINBO HOLD - TOTAL DEBT % TOTAL CAPITAL/STD,40.94,39.49,38.39,32.6,34.53,43.96,42.3,NA
NISSHINBO HOLD - BOOK VALUE-OUT SHARES-FISCAL,1396.697,1432.361,1376.094,1556.754,1679.974,1595.24,1714.437,NA
NISSHINBO HOLD - PRICE TO BOOK VAL,1.03,0.71,0.52,0.55,0.6,0.63,0.71,0.47
NISSIN FOODS HOLD - RETURN ON ASSETS,5.36,3.68,5.36,6.79,5.41,6.64,7.33,NA
NISSIN FOODS HOLD - TOTAL DEBT % COMMON EQUITY,6.48,14.72,20.2,17.1,11.02,12.8,11.38,NA
NISSIN FOODS HOLD - TOTAL DEBT % TOTAL CAPITAL/STD,5.74,12.01,15.77,13.48,9.18,10.53,9.5,NA
NISSIN FOODS HOLD - BOOK VALUE-OUT SHARES-FISCAL,1178.944,1045.799,1049.544,1228.791,1326.553,1415.697,1621.912,NA
NISSIN FOODS HOLD - PRICE TO BOOK VAL,2.35,2.41,2.39,2.04,2.1,2.47,2.52,1.88
SOJITZ CORP - RETURN ON ASSETS,3.05,3.56,3.23,1.6,3.64,4.75,4.36,NA
SOJITZ CORP - TOTAL DEBT % COMMON EQUITY,156.03,141.98,167.88,159.19,154.94,114.01,109.49,NA
SOJITZ CORP - TOTAL DEBT % TOTAL CAPITAL/STD,59.41,57.02,60.99,60.09,59.62,52.14,51.43,NA
SOJITZ CORP - BOOK VALUE-OUT SHARES-FISCAL,2344.04,2474.686,2374.831,2581.58,3153.897,3629.34,4238.807,NA
SOJITZ CORP - PRICE TO BOOK VAL,0.7,0.8,0.48,0.49,0.53,0.67,0.94,0.73
NIPPON SHOKUBAI CO. - RETURN ON ASSETS,5.46,5.08,2.42,-2.24,4.87,3.83,2.33,NA
NIPPON SHOKUBAI CO. - TOTAL DEBT % COMMON EQUITY,18.9,17.53,19.82,19.4,17.35,15.9,11.9,NA
NIPPON SHOKUBAI CO. - TOTAL DEBT % TOTAL CAPITAL/STD,15.74,14.68,16.27,15.98,14.53,13.47,10.41,NA
NIPPON SHOKUBAI CO. - BOOK VALUE-OUT SHARES-FISCAL,1926.222,2024.994,2004.289,1989.764,2156,2303.448,2482.456,NA
NIPPON SHOKUBAI CO. - PRICE TO BOOK VAL,0.88,0.95,0.63,0.73,0.56,0.54,0.62,0.65
NIPPON TELEVISION - RETURN ON ASSETS,4.36,4.3,3.3,2.47,4.57,3.28,3.15,NA
NIPPON TELEVISION - TOTAL DEBT % COMMON EQUITY,2.88,2.97,2.67,2.14,1.86,1.74,1.63,NA
NIPPON TELEVISION - TOTAL DEBT % TOTAL CAPITAL/STD,2.74,2.86,2.58,2.08,1.82,1.69,1.55,NA
NIPPON TELEVISION - BOOK VALUE-OUT SHARES-FISCAL,2727.942,2902.573,2920.549,3195.385,3311.631,3280.348,3645.651,NA
NIPPON TELEVISION - PRICE TO BOOK VAL,0.61,0.57,0.38,0.43,0.37,0.31,0.68,0.86
NEC CORP - RETURN ON ASSETS,1.93,1.64,3.77,4.87,4.18,3.25,4.06,NA
NEC CORP - TOTAL DEBT % COMMON EQUITY,59.12,64.28,74.17,53.73,39.47,37.47,28.64,NA
NEC CORP - TOTAL DEBT % TOTAL CAPITAL/STD,33.06,34.26,37.73,31.04,25.06,24.13,20.8,NA
NEC CORP - BOOK VALUE-OUT SHARES-FISCAL,678.16,661.956,701.632,960.135,1111.008,1219.32,1437.852,NA
NEC CORP - PRICE TO BOOK VAL,0.88,1.12,0.84,1.19,0.83,0.71,1.6,2.05
SOMPO HOLDINGS INC - RETURN ON ASSETS,1.3,1.31,1.11,1.22,1.75,0.73,3.06,NA
SOMPO HOLDINGS INC - TOTAL DEBT % COMMON EQUITY,87.32,91.74,83.13,97.26,85.64,100.39,80.76,NA
SOMPO HOLDINGS INC - TOTAL DEBT % TOTAL CAPITAL/STD,30.57,33.89,34.45,32.84,33.3,40.49,31.12,NA
SOMPO HOLDINGS INC - BOOK VALUE-OUT SHARES-FISCAL,846.158,890.245,933.094,958.729,1157.533,1267.459,1625.155,NA
SOMPO HOLDINGS INC - PRICE TO BOOK VAL,1.64,1.46,1.24,1.19,1.34,1.09,1.99,2.61
NOMURA HOLDINGS INC - RETURN ON ASSETS,1.88,2.1,2.45,0.93,0.91,2.27,4.65,NA
NOMURA HOLDINGS INC - TOTAL DEBT % COMMON EQUITY,904.56,968.59,1028.49,908.25,852.49,873.94,982.14,NA
NOMURA HOLDINGS INC - TOTAL DEBT % TOTAL CAPITAL/STD,89.88,90.48,90.9,89.88,89.31,89.51,90.51,NA
NOMURA HOLDINGS INC - BOOK VALUE-OUT SHARES-FISCAL,810.307,794.69,873.257,879.791,965.803,1048.237,1127.723,NA
NOMURA HOLDINGS INC - PRICE TO BOOK VAL,0.8,0.47,0.51,0.61,0.49,0.45,0.85,0.68
NIHON M&A CENTER INC - RETURN ON ASSETS,28.81,26.48,25.98,23.13,20.44,15.94,17.25,NA
NIHON M&A CENTER INC - TOTAL DEBT % COMMON EQUITY,15.88,9.19,4.18,1.11,0,0,14.35,NA
NIHON M&A CENTER INC - TOTAL DEBT % TOTAL CAPITAL/STD,13.7,8.4,4.01,1.09,0,0,12.53,NA
NIHON M&A CENTER INC - BOOK VALUE-OUT SHARES-FISCAL,137.089,84.52,110.062,136.785,153.559,164.523,138.445,NA
NIHON M&A CENTER INC - PRICE TO BOOK VAL,20.79,13.88,11.31,19.73,10.31,6.52,6.58,4.08
NOMURA RESEARCH - RETURN ON ASSETS,8.66,8.2,12.31,8.91,10.09,9.86,9.58,NA
NOMURA RESEARCH - TOTAL DEBT % COMMON EQUITY,19.36,14.64,39.75,50.1,73.79,59.58,74.72,NA
NOMURA RESEARCH - TOTAL DEBT % TOTAL CAPITAL/STD,15.83,12.43,27.34,33.2,42.24,37.14,42.55,NA
NOMURA RESEARCH - BOOK VALUE-OUT SHARES-FISCAL,588.683,589.105,447.833,547.655,575.589,674.348,693.329,NA
NOMURA RESEARCH - PRICE TO BOOK VAL,2.88,3.77,4.59,5.75,6,4.53,5.91,7.49
NINTENDO CO LTD - RETURN ON ASSETS,9.26,12.06,14.8,22.74,19.35,16.26,16.94,NA
NINTENDO CO LTD - TOTAL DEBT % COMMON EQUITY,0,0,0.14,0.31,0.3,0.28,0.24,NA
NINTENDO CO LTD - TOTAL DEBT % TOTAL CAPITAL/STD,0,0,0.14,0.31,0.3,0.28,0.23,NA
NINTENDO CO LTD - BOOK VALUE-OUT SHARES-FISCAL,1098.044,1183.391,1293.351,1573.478,1763.56,1946.553,2236.45,NA
NINTENDO CO LTD - PRICE TO BOOK VAL,3.78,2.55,2.82,3.68,3.27,2.42,3.45,4.49
NICHICON CORP - RETURN ON ASSETS,-7.35,-5.38,2.06,1.18,4.88,4.35,4.18,NA
NICHICON CORP - TOTAL DEBT % COMMON EQUITY,2.85,21.33,34.87,30.12,28.45,34.61,32.72,NA
NICHICON CORP - TOTAL DEBT % TOTAL CAPITAL/STD,2.72,17.19,25.39,22.73,21.74,25.23,24.17,NA
