Name,2014,2015,2016,2017
KYORITSU MAINTENANCE - RETURN ON ASSETS,3.51,3.63,4.32,4.52
KYORITSU MAINTENANCE - TOTAL DEBT % COMMON EQUITY,196.72,122.15,116.32,111.63
KYORITSU MAINTENANCE - PRICE TO BOOK VAL,1.12,2.1,2.5,1.76
KUBOTA CORPORATION - RETURN ON ASSETS,6.91,6.34,5.11,4.96
KUBOTA CORPORATION - TOTAL DEBT % COMMON EQUITY,62.79,67.42,68.24,64.29
KUBOTA CORPORATION - PRICE TO BOOK VAL,1.48,2.12,1.75,1.59
KAWASAKI HEAVY INDS. - RETURN ON ASSETS,2.82,3.46,3.03,1.75
KAWASAKI HEAVY INDS. - TOTAL DEBT % COMMON EQUITY,122.48,95.92,92.36,91.64
KAWASAKI HEAVY INDS. - PRICE TO BOOK VAL,1.4,2.41,1.26,1.19
ONWARD HOLDINGS - RETURN ON ASSETS,1.67,1.37,1.43,1.73
ONWARD HOLDINGS - TOTAL DEBT % COMMON EQUITY,37.87,39.95,41.65,28.27
ONWARD HOLDINGS - PRICE TO BOOK VAL,0.6,0.77,0.68,0.71
LASERTEC CORPORATION - RETURN ON ASSETS,9.54,13.06,13.06,12.11
LASERTEC CORPORATION - TOTAL DEBT % COMMON EQUITY,0.04,0.03,0.02,0.01
LASERTEC CORPORATION - PRICE TO BOOK VAL,1.27,1.99,1.39,2.7
LAWSON INC - RETURN ON ASSETS,6.67,5.02,4.28,4.63
LAWSON INC - TOTAL DEBT % COMMON EQUITY,32.11,61.19,65.01,78.65
LAWSON INC - PRICE TO BOOK VAL,2.83,3.19,3.11,2.69
LION CORPORATION - RETURN ON ASSETS,2.77,3.93,5.62,6.38
LION CORPORATION - TOTAL DEBT % COMMON EQUITY,26.65,12.96,6.09,4.76
LION CORPORATION - PRICE TO BOOK VAL,1.22,1.75,3.3,3.65
LIXIL CORP - RETURN ON ASSETS,2.96,1.34,-0.61,2.36
LIXIL CORP - TOTAL DEBT % COMMON EQUITY,101.07,111.54,157.59,138.86
LIXIL CORP - PRICE TO BOOK VAL,1.15,1.34,1.01,1.27
MITSUBISHI MATERIALS - RETURN ON ASSETS,3.36,3.48,3.68,1.72
MITSUBISHI MATERIALS - TOTAL DEBT % COMMON EQUITY,147.49,118.59,98.25,87.55
MITSUBISHI MATERIALS - PRICE TO BOOK VAL,0.72,1.11,0.66,0.61
NIPPON ELEC. GLASS - RETURN ON ASSETS,1.09,1.44,0.77,3.84
NIPPON ELEC. GLASS - TOTAL DEBT % COMMON EQUITY,21.28,21.4,20.24,22.41
NIPPON ELEC. GLASS - PRICE TO BOOK VAL,0.48,0.64,0.52,0.69
TOKYO SEIMITSU CO. - RETURN ON ASSETS,7.4,9.97,9.72,9.19
TOKYO SEIMITSU CO. - TOTAL DEBT % COMMON EQUITY,3.89,2.84,2.05,1.53
TOKYO SEIMITSU CO. - PRICE TO BOOK VAL,0.93,1.48,1.21,1.56
MATSUI SECURITIES - RETURN ON ASSETS,3.59,4.85,5.06,4.04
MATSUI SECURITIES - TOTAL DEBT % COMMON EQUITY,239.61,215.47,159.99,153.39
MATSUI SECURITIES - PRICE TO BOOK VAL,2.63,3.08,2.63,2.33
MATSUMOTOKIYOSHI - RETURN ON ASSETS,5.61,4.62,6.79,7.23
MATSUMOTOKIYOSHI - TOTAL DEBT % COMMON EQUITY,3.06,2.81,2.48,2.32
MATSUMOTOKIYOSHI - PRICE TO BOOK VAL,1.14,1.47,1.67,1.6
MITSUBISHI CHEM - RETURN ON ASSETS,1.23,1.86,1.37,3.98
MITSUBISHI CHEM - TOTAL DEBT % COMMON EQUITY,140.65,164.99,159.08,156.39
MITSUBISHI CHEM - PRICE TO BOOK VAL,0.61,1.21,0.74,0.94
MABUCHI MOTOR CO. - RETURN ON ASSETS,7.49,7.25,8.02,7.71
MABUCHI MOTOR CO. - TOTAL DEBT % COMMON EQUITY,0.17,0.12,0.07,0.02
MABUCHI MOTOR CO. - PRICE TO BOOK VAL,1.06,2.18,1.52,1.77
MCDONALD'S HOLDINGS - RETURN ON ASSETS,-10.9,-18.97,3.1,12.85
MCDONALD'S HOLDINGS - TOTAL DEBT % COMMON EQUITY,3.62,27.13,23.42,11.77
MCDONALD'S HOLDINGS - PRICE TO BOOK VAL,2.57,3.22,3.62,3.95
LEOPALACE21 CORP - RETURN ON ASSETS,6.34,5.5,6.75,6.68
LEOPALACE21 CORP - TOTAL DEBT % COMMON EQUITY,35.5,35.17,34.76,31.42
LEOPALACE21 CORP - PRICE TO BOOK VAL,0.91,1.31,1.13,1.06
MITSUBISHI ESTATE CO - RETURN ON ASSETS,1.65,1.9,1.91,2.21
MITSUBISHI ESTATE CO - TOTAL DEBT % COMMON EQUITY,148.4,128.94,151.7,150.44
MITSUBISHI ESTATE CO - PRICE TO BOOK VAL,2.27,2.49,1.85,1.67
MEDIPAL HOLDINGS - RETURN ON ASSETS,1.89,1.68,2.1,1.93
MEDIPAL HOLDINGS - TOTAL DEBT % COMMON EQUITY,12.63,7.87,10.74,9.44
MEDIPAL HOLDINGS - PRICE TO BOOK VAL,0.79,1.02,0.99,0.93
MEITEC GROUP - RETURN ON ASSETS,7.13,6.25,13.42,12.97
MEITEC GROUP - TOTAL DEBT % COMMON EQUITY,0.04,0,0.05,0
MEITEC GROUP - PRICE TO BOOK VAL,2.44,3.59,2.87,3.29
MEIJI HOLDINGS - RETURN ON ASSETS,2.54,3.84,7.34,7.11
MEIJI HOLDINGS - TOTAL DEBT % COMMON EQUITY,62.92,60.5,36.76,29.28
MEIJI HOLDINGS - PRICE TO BOOK VAL,1.23,2.47,3.24,2.79
MERCARI INC - RETURN ON ASSETS,NA,NA,NA,-10.45
MERCARI INC - TOTAL DEBT % COMMON EQUITY,NA,NA,12.46,507
#ERROR,"$$ER: 2361,NO DATA AVAILABLE",,,
MITSUI MINING - RETURN ON ASSETS,0.99,3.6,-3.75,3.97
MITSUI MINING - TOTAL DEBT % COMMON EQUITY,140.73,111.41,118.74,125.04
MITSUI MINING - PRICE TO BOOK VAL,0.71,1.14,0.65,1.32
MITSUBISHI HEAVY IND - RETURN ON ASSETS,3.93,2.3,1.3,1.73
MITSUBISHI HEAVY IND - TOTAL DEBT % COMMON EQUITY,62.73,55.4,62.92,52.34
MITSUBISHI HEAVY IND - PRICE TO BOOK VAL,1.05,1.47,0.78,0.81
PANASONIC HOLDINGS - RETURN ON ASSETS,2.57,3.62,3.74,3.09
PANASONIC HOLDINGS - TOTAL DEBT % COMMON EQUITY,41.48,53.36,42.57,71.51
PANASONIC HOLDINGS - PRICE TO BOOK VAL,1.32,2.38,1.43,1.87
MITSUI FUDOSAN CO. - RETURN ON ASSETS,2.16,2.43,2.58,2.73
MITSUI FUDOSAN CO. - TOTAL DEBT % COMMON EQUITY,161.22,106.31,116.5,115.92
MITSUI FUDOSAN CO. - PRICE TO BOOK VAL,1.73,1.89,1.35,1.15
TOKIO MARINE - RETURN ON ASSETS,1.02,1.27,1.22,1.27
TOKIO MARINE - TOTAL DEBT % COMMON EQUITY,86.72,65.51,72.33,87.65
TOKIO MARINE - PRICE TO BOOK VAL,1.28,1.98,1.45,1.8
MITSUI E&S - RETURN ON ASSETS,5.77,1.13,0.83,1.31
MITSUI E&S - TOTAL DEBT % COMMON EQUITY,92.01,84.85,107.31,109.96
MITSUI E&S - PRICE TO BOOK VAL,0.63,0.74,0.59,0.53
MISUMI GROUP INC - RETURN ON ASSETS,7.86,8.29,9.01,9.14
MISUMI GROUP INC - TOTAL DEBT % COMMON EQUITY,9.63,9.08,7.95,6.69
MISUMI GROUP INC - PRICE TO BOOK VAL,1.71,3.12,3,3.59
MITSUBISHI UFJ FIN - RETURN ON ASSETS,0.46,0.44,0.39,0.37
MITSUBISHI UFJ FIN - TOTAL DEBT % COMMON EQUITY,422.89,413.5,419.98,438.75
MITSUBISHI UFJ FIN - PRICE TO BOOK VAL,0.5,0.8,0.47,0.57
"MIURA CO., LTD. - RETURN ON ASSETS",5.64,6.06,5.64,5.86
"MIURA CO., LTD. - TOTAL DEBT % COMMON EQUITY",0.04,0.05,0.05,0.02
"MIURA CO., LTD. - PRICE TO BOOK VAL",1.07,1.43,2.19,2.08
"MIXI, INC - RETURN ON ASSETS",-1,51.95,46.99,36.68
"MIXI, INC - TOTAL DEBT % COMMON EQUITY",0,24.92,0,0.01
"MIXI, INC - PRICE TO BOOK VAL",2.48,3.76,2.12,3.05
MIZUHO FINANCIAL GRP - RETURN ON ASSETS,0.45,0.39,0.41,0.38
MIZUHO FINANCIAL GRP - TOTAL DEBT % COMMON EQUITY,749.44,550.78,530.8,482.67
MIZUHO FINANCIAL GRP - PRICE TO BOOK VAL,0.61,0.76,0.51,0.55
MAKITA CORPORATION - RETURN ON ASSETS,8.05,8.3,7.37,7.77
MAKITA CORPORATION - TOTAL DEBT % COMMON EQUITY,0.95,1.03,0.46,1.31
MAKITA CORPORATION - PRICE TO BOOK VAL,1.51,1.84,1.92,2.04
MITSUBISHI MOTORS - RETURN ON ASSETS,7.59,7.86,4.92,-13.6
MITSUBISHI MOTORS - TOTAL DEBT % COMMON EQUITY,46.76,24.21,5.97,3.81
MITSUBISHI MOTORS - PRICE TO BOOK VAL,1.53,1.68,1.15,1.38
"MONOTARO, CO.,LTD - RETURN ON ASSETS",15.89,19.18,19.67,21.57
"MONOTARO, CO.,LTD - TOTAL DEBT % COMMON EQUITY",23.03,59.32,40.27,35.36
"MONOTARO, CO.,LTD - PRICE TO BOOK VAL",14.35,21.37,28.09,20.06
MITSUI OSK LINES - RETURN ON ASSETS,3.02,2.12,-6.45,0.63
MITSUI OSK LINES - TOTAL DEBT % COMMON EQUITY,160.53,150.73,192.22,195.39
MITSUI OSK LINES - PRICE TO BOOK VAL,0.55,0.92,0.51,0.75
MARUBENI CORP - RETURN ON ASSETS,3.66,1.9,1.19,2.58
MARUBENI CORP - TOTAL DEBT % COMMON EQUITY,229.72,221.86,257.51,168.38
MARUBENI CORP - PRICE TO BOOK VAL,0.77,0.95,0.52,0.67
MARUICHI STEEL TUBE - RETURN ON ASSETS,4.86,3.04,3.7,5.96
MARUICHI STEEL TUBE - TOTAL DEBT % COMMON EQUITY,8.34,8.96,7.66,5.13
MARUICHI STEEL TUBE - PRICE TO BOOK VAL,0.84,1.09,1.18,1.07
MS&AD INSURANCE - RETURN ON ASSETS,0.61,0.79,0.96,1.05
MS&AD INSURANCE - TOTAL DEBT % COMMON EQUITY,27.32,24.17,49.26,49.8
MS&AD INSURANCE - PRICE TO BOOK VAL,1.05,1.62,1.33,1.51
"MITSUI & CO., LTD. - RETURN ON ASSETS",3.47,2.93,-0.28,3.12
"MITSUI & CO., LTD. - TOTAL DEBT % COMMON EQUITY",115.6,116.93,139.38,128.65
"MITSUI & CO., LTD. - PRICE TO BOOK VAL",0.66,0.91,0.62,0.66
J FRONT RETAILIN - RETURN ON ASSETS,3.27,2.07,2.71,2.7
J FRONT RETAILIN - TOTAL DEBT % COMMON EQUITY,51.58,45.51,47.75,47.39
J FRONT RETAILIN - PRICE TO BOOK VAL,1.01,1.45,0.79,1.04
BANDAI NAMCO - RETURN ON ASSETS,6.62,9.14,8,9.7
BANDAI NAMCO - TOTAL DEBT % COMMON EQUITY,3.43,1.42,0.61,0.25
BANDAI NAMCO - PRICE TO BOOK VAL,1.54,1.74,1.68,2.14
NABTESCO CORPORATION - RETURN ON ASSETS,6.94,6.53,7.2,9.09
NABTESCO CORPORATION - TOTAL DEBT % COMMON EQUITY,19.95,10.76,11.29,16.55
NABTESCO CORPORATION - PRICE TO BOOK VAL,1.74,2.67,2.21,2.35
NIDEC CORP - RETURN ON ASSETS,5.3,6.13,6.82,7.52
NIDEC CORP - TOTAL DEBT % COMMON EQUITY,67.8,37.91,39.36,48.68
NIDEC CORP - PRICE TO BOOK VAL,2.16,3.52,2.93,3.27
NANKAI ELEC. RAILWAY - RETURN ON ASSETS,1.77,2.78,1.91,2.27
NANKAI ELEC. RAILWAY - TOTAL DEBT % COMMON EQUITY,304.27,260.52,249.9,229.53
NANKAI ELEC. RAILWAY - PRICE TO BOOK VAL,1.16,1.57,1.53,1.45
NAGOYA RAILROAD CO. - RETURN ON ASSETS,1.79,2.04,2.65,2.47
NAGOYA RAILROAD CO. - TOTAL DEBT % COMMON EQUITY,225.82,181.37,163.92,146.49
NAGOYA RAILROAD CO. - PRICE TO BOOK VAL,1.14,1.5,1.61,1.36
NISSAN CHEMICAL CORP - RETURN ON ASSETS,8.3,8.5,9.96,10.5
NISSAN CHEMICAL CORP - TOTAL DEBT % COMMON EQUITY,26.52,23.48,21.32,19.02
NISSAN CHEMICAL CORP - PRICE TO BOOK VAL,1.57,2.74,3,3.27
NISSHINBO HOLD - RETURN ON ASSETS,1.77,2.32,1.75,0.6
NISSHINBO HOLD - TOTAL DEBT % COMMON EQUITY,53.91,56.85,64.81,68.86
NISSHINBO HOLD - PRICE TO BOOK VAL,0.57,0.92,0.85,0.78
NISSIN FOODS HOLD - RETURN ON ASSETS,4.21,3.77,5.1,4.38
NISSIN FOODS HOLD - TOTAL DEBT % COMMON EQUITY,4.58,4.32,9.46,11.72
NISSIN FOODS HOLD - PRICE TO BOOK VAL,1.42,1.61,1.69,1.91
SOJITZ CORP - RETURN ON ASSETS,1.92,2.08,2.3,2.47
SOJITZ CORP - TOTAL DEBT % COMMON EQUITY,233.05,189.53,178.88,168.58
SOJITZ CORP - PRICE TO BOOK VAL,0.37,0.68,0.55,0.58
NIPPON SHOKUBAI CO. - RETURN ON ASSETS,2.93,4.79,6.39,4.7
NIPPON SHOKUBAI CO. - TOTAL DEBT % COMMON EQUITY,29.01,25.2,18.18,20.11
NIPPON SHOKUBAI CO. - PRICE TO BOOK VAL,0.94,1.23,0.87,0.9
NIPPON TELEVISION - RETURN ON ASSETS,4.49,4.37,4.9,5.1
NIPPON TELEVISION - TOTAL DEBT % COMMON EQUITY,0.5,4.93,4.21,3.78
NIPPON TELEVISION - PRICE TO BOOK VAL,0.68,0.97,0.77,0.67
NEC CORP - RETURN ON ASSETS,1.59,2.56,3.18,1.33
NEC CORP - TOTAL DEBT % COMMON EQUITY,82.64,63.23,60.72,54.66
NEC CORP - PRICE TO BOOK VAL,0.92,1.36,0.74,0.82
SOMPO HOLDINGS INC - RETURN ON ASSETS,0.56,0.58,1.61,1.57
SOMPO HOLDINGS INC - TOTAL DEBT % COMMON EQUITY,37.71,18.85,27.01,80.14
SOMPO HOLDINGS INC - PRICE TO BOOK VAL,1.39,2.07,1.27,1.7
NOMURA HOLDINGS INC - RETURN ON ASSETS,1.51,1.72,1.57,1.64
NOMURA HOLDINGS INC - TOTAL DEBT % COMMON EQUITY,1059.27,914.39,942.71,962.26
NOMURA HOLDINGS INC - PRICE TO BOOK VAL,0.83,1.08,0.59,0.83
NIHON M&A CENTER INC - RETURN ON ASSETS,27.56,25.92,26.41,27.53
NIHON M&A CENTER INC - TOTAL DEBT % COMMON EQUITY,0.92,0.74,0.6,27.98
NIHON M&A CENTER INC - PRICE TO BOOK VAL,6.96,10.6,16.72,7.66
NOMURA RESEARCH - RETURN ON ASSETS,7.14,7.37,7.05,7.24
NOMURA RESEARCH - TOTAL DEBT % COMMON EQUITY,16.61,16.57,15.48,13.34
NOMURA RESEARCH - PRICE TO BOOK VAL,1.67,2.47,2.16,2.36
NINTENDO CO LTD - RETURN ON ASSETS,-1.73,3.23,1.28,7.64
NINTENDO CO LTD - TOTAL DEBT % COMMON EQUITY,0,0,0,0
NINTENDO CO LTD - PRICE TO BOOK VAL,1.15,2.26,1.57,2.76
NICHICON CORP - RETURN ON ASSETS,2.48,1.66,-0.4,1.9
NICHICON CORP - TOTAL DEBT % COMMON EQUITY,6.11,3.29,3.1,2.72
NICHICON CORP - PRICE TO BOOK VAL,0.5,0.77,0.55,0.72
NIPPN CORP - RETURN ON ASSETS,3.72,3.09,3.43,3.67
NIPPN CORP - TOTAL DEBT % COMMON EQUITY,39,35.83,35.93,27.73
NIPPN CORP - PRICE TO BOOK VAL,0.67,0.82,0.93,0.91
NIPPON PAPER - RETURN ON ASSETS,2.17,2.01,0.48,0.83
NIPPON PAPER - TOTAL DEBT % COMMON EQUITY,184.38,150.98,167.05,158.02
NIPPON PAPER - PRICE TO BOOK VAL,0.46,0.55,0.52,0.57
NIPPON PROLOGIS RE - RETURN ON ASSETS,3.42,3.27,3.39,4.17
NIPPON PROLOGIS RE - TOTAL DEBT % COMMON EQUITY,61.14,67.33,66.81,62.03
NIPPON PROLOGIS RE - PRICE TO BOOK VAL,1.58,1.8,1.75,1.59
NIPPON PAINT HOLD - RETURN ON ASSETS,10.64,32.09,5.73,4.35
NIPPON PAINT HOLD - TOTAL DEBT % COMMON EQUITY,9.08,4.07,8.44,12.57
NIPPON PAINT HOLD - PRICE TO BOOK VAL,0.98,2.72,2.05,2.6
NISSAN MOTOR CO. - RETURN ON ASSETS,3.05,3.04,3.18,3.8
NISSAN MOTOR CO. - TOTAL DEBT % COMMON EQUITY,130.21,137.93,148.28,159.76
NISSAN MOTOR CO. - PRICE TO BOOK VAL,0.78,1.12,0.84,0.79
NOMURA REAL ESTATE - RETURN ON ASSETS,2.48,3.4,3.72,3.42
NOMURA REAL ESTATE - TOTAL DEBT % COMMON EQUITY,173.36,156.18,161.95,167.88
NOMURA REAL ESTATE - PRICE TO BOOK VAL,0.9,1.1,0.75,0.91
NOMURA REAL - RETURN ON ASSETS,NA,NA,NA,2.66
NOMURA REAL - TOTAL DEBT % COMMON EQUITY,NA,NA,85.5,87.8
NOMURA REAL - PRICE TO BOOK VAL,NA,NA,1.27,1.25
NIPRO CORP - RETURN ON ASSETS,0.64,2.32,3.31,1.89
NIPRO CORP - TOTAL DEBT % COMMON EQUITY,305.71,242.15,248.36,277.14
NIPRO CORP - PRICE TO BOOK VAL,0.85,1.22,1.24,1.44
NSK LTD - RETURN ON ASSETS,3.64,6.19,6.55,4.8
NSK LTD - TOTAL DEBT % COMMON EQUITY,88.1,71.76,61.42,58.19
NSK LTD - PRICE TO BOOK VAL,1.31,2.34,1.09,1.36
NIPPON STEEL CORP - RETURN ON ASSETS,3.72,3.2,2.35,2.14
NIPPON STEEL CORP - TOTAL DEBT % COMMON EQUITY,86.68,66.31,72.36,71.37
NIPPON STEEL CORP - PRICE TO BOOK VAL,0.84,1.03,0.67,0.68
NTN CORP - RETURN ON ASSETS,-1.24,3.15,2.19,0.52
NTN CORP - TOTAL DEBT % COMMON EQUITY,192.29,146.93,140.66,140.81
NTN CORP - PRICE TO BOOK VAL,0.76,1.68,0.84,1.05
NITORI HOLDINGS - RETURN ON ASSETS,12.81,11.48,11.53,13.39
NITORI HOLDINGS - TOTAL DEBT % COMMON EQUITY,4.34,3.03,1.46,0.8
NITORI HOLDINGS - PRICE TO BOOK VAL,1.75,3.21,2.96,4.06
NIPPON TELEGRAPH - RETURN ON ASSETS,3.2,2.75,3.8,4.05
NIPPON TELEGRAPH - TOTAL DEBT % COMMON EQUITY,49.71,51.19,47.49,45.49
NIPPON TELEGRAPH - PRICE TO BOOK VAL,0.7,1.01,1.07,1.09
NIPPON KAYAKU CO. - RETURN ON ASSETS,7.15,6.16,6.47,5.77
NIPPON KAYAKU CO. - TOTAL DEBT % COMMON EQUITY,13.08,9.13,11.39,8.28
NIPPON KAYAKU CO. - PRICE TO BOOK VAL,1.16,1.33,0.96,1.29
YAMATO KOGYO CO. - RETURN ON ASSETS,3.48,4.1,4.29,3.26
YAMATO KOGYO CO. - TOTAL DEBT % COMMON EQUITY,2.18,1.4,0.59,0.01
YAMATO KOGYO CO. - PRICE TO BOOK VAL,0.67,0.67,0.59,0.61
NEXON CO LTD - RETURN ON ASSETS,6.99,12.98,4.7,11.69
NEXON CO LTD - TOTAL DEBT % COMMON EQUITY,10.7,1.18,0.68,0.86
NEXON CO LTD - PRICE TO BOOK VAL,1.14,1.98,2.17,1.96
NIPPON YUSEN K.K. - RETURN ON ASSETS,1.87,2.29,1.05,-11.7
NIPPON YUSEN K.K. - TOTAL DEBT % COMMON EQUITY,174.24,137.05,122.94,182.71
NIPPON YUSEN K.K. - PRICE TO BOOK VAL,0.61,0.83,0.67,0.64
OBAYASHI CORP - RETURN ON ASSETS,1.37,1.6,3.31,4.85
OBAYASHI CORP - TOTAL DEBT % COMMON EQUITY,103.93,80.97,67.15,46.04
OBAYASHI CORP - PRICE TO BOOK VAL,0.85,1.12,1.37,1.28
NIPPON BUILDING FUND - RETURN ON ASSETS,2.83,2.65,2.89,3.09
NIPPON BUILDING FUND - TOTAL DEBT % COMMON EQUITY,80.15,78.31,80.47,76.81
NIPPON BUILDING FUND - PRICE TO BOOK VAL,1.52,1.54,1.75,1.61
"OBIC CO., LTD. - RETURN ON ASSETS",11.83,11.63,13.19,12.4
"OBIC CO., LTD. - TOTAL DEBT % COMMON EQUITY",0,0,0,0
"OBIC CO., LTD. - PRICE TO BOOK VAL",1.84,2.84,2.93,2.92
TAIHEIYO CEMENT CORP - RETURN ON ASSETS,4.15,4.9,4.07,5.24
TAIHEIYO CEMENT CORP - TOTAL DEBT % COMMON EQUITY,201.99,149.2,139.69,108.21
TAIHEIYO CEMENT CORP - PRICE TO BOOK VAL,1.56,1.45,0.95,1.09
JTEKT CORP - RETURN ON ASSETS,2.46,4.13,4.66,4.62
JTEKT CORP - TOTAL DEBT % COMMON EQUITY,62.78,48.36,42.14,38.54
JTEKT CORP - PRICE TO BOOK VAL,1.05,1.62,1.03,1.11
OKUMURA CORP - RETURN ON ASSETS,1.66,2.03,3.33,4.95
OKUMURA CORP - TOTAL DEBT % COMMON EQUITY,9.96,13.44,14.65,9.33
OKUMURA CORP - PRICE TO BOOK VAL,0.58,0.8,0.8,0.87
YAMATO HOLDINGS CO - RETURN ON ASSETS,3.6,3.65,3.74,1.7
YAMATO HOLDINGS CO - TOTAL DEBT % COMMON EQUITY,19.56,23.94,32.42,33.04
YAMATO HOLDINGS CO - PRICE TO BOOK VAL,1.59,1.9,1.69,1.69
OJI HOLDINGS - RETURN ON ASSETS,2.18,1.17,1.03,2.13
OJI HOLDINGS - TOTAL DEBT % COMMON EQUITY,139.2,131.36,131.49,106.77
OJI HOLDINGS - PRICE TO BOOK VAL,0.63,0.89,0.66,0.82
OKI ELECTRIC INDS. - RETURN ON ASSETS,7.76,8.24,1.76,1.37
OKI ELECTRIC INDS. - TOTAL DEBT % COMMON EQUITY,215.04,95.48,121.95,99.7
OKI ELECTRIC INDS. - PRICE TO BOOK VAL,1.39,2.11,1.44,1.44
OLYMPUS CORP - RETURN ON ASSETS,2.35,0.02,6.75,8.74
OLYMPUS CORP - TOTAL DEBT % COMMON EQUITY,128.64,102.23,86.63,69.1
OLYMPUS CORP - PRICE TO BOOK VAL,2.91,3.82,3.46,3.2
HINO MOTORS LTD - RETURN ON ASSETS,9.84,7.5,6.28,4.63
HINO MOTORS LTD - TOTAL DEBT % COMMON EQUITY,47.22,40.16,37.05,41.95
HINO MOTORS LTD - PRICE TO BOOK VAL,1.72,2.23,1.37,1.51
OMRON CORP - RETURN ON ASSETS,7.85,9.29,6.92,6.87
OMRON CORP - TOTAL DEBT % COMMON EQUITY,0.11,0,0,0.03
OMRON CORP - PRICE TO BOOK VAL,1.51,2.64,1.56,1.85
"OSAKA GAS CO., LTD. - RETURN ON ASSETS",2.87,4.69,4.94,3.65
"OSAKA GAS CO., LTD. - TOTAL DEBT % COMMON EQUITY",71.81,71.36,62.57,56.26
"OSAKA GAS CO., LTD. - PRICE TO BOOK VAL",0.9,1.15,0.9,0.87
ORACLE CORP. JAPAN - RETURN ON ASSETS,18.73,17.67,16.3,17.25
ORACLE CORP. JAPAN - TOTAL DEBT % COMMON EQUITY,0,0,0,0
ORACLE CORP. JAPAN - PRICE TO BOOK VAL,6.2,6.26,5.47,8.19
ORIENTAL LAND CO. - RETURN ON ASSETS,10.82,10.27,9.53,9.95
ORIENTAL LAND CO. - TOTAL DEBT % COMMON EQUITY,11.84,10.25,9.14,9.05
ORIENTAL LAND CO. - PRICE TO BOOK VAL,2.36,4.5,3.66,3.22
ORIX CORP - RETURN ON ASSETS,4.38,4.54,4.28,4.34
ORIX CORP - TOTAL DEBT % COMMON EQUITY,217.25,205.27,185.7,165.03
ORIX CORP - PRICE TO BOOK VAL,0.93,1.1,0.8,0.82
ORIX JREIT INC - RETURN ON ASSETS,2.82,3.16,3.16,3.22
ORIX JREIT INC - TOTAL DEBT % COMMON EQUITY,97.68,94.26,92.84,85.61
ORIX JREIT INC - PRICE TO BOOK VAL,1.19,1.53,1.48,1.43
KOSE CORP - RETURN ON ASSETS,6.47,6.32,8.7,9.18
KOSE CORP - TOTAL DEBT % COMMON EQUITY,1.11,0.89,1.16,0.99
KOSE CORP - PRICE TO BOOK VAL,1.43,3.17,3.26,3.62
JAPAN EXCHANGE - RETURN ON ASSETS,2.23,11.48,13.91,12.19
JAPAN EXCHANGE - TOTAL DEBT % COMMON EQUITY,21.65,13.79,12.64,20.33
JAPAN EXCHANGE - PRICE TO BOOK VAL,2.56,4.07,3.25,3.24
OTSUKA HOLDINGS - RETURN ON ASSETS,9.94,3.69,3.81,4.7
OTSUKA HOLDINGS - TOTAL DEBT % COMMON EQUITY,6.17,19.42,16.39,13.93
OTSUKA HOLDINGS - PRICE TO BOOK VAL,0.96,1.28,1.44,1.54
OTSUKA CORP - RETURN ON ASSETS,8.07,7.58,8.05,8.77
OTSUKA CORP - TOTAL DEBT % COMMON EQUITY,5.87,5.39,4.74,4.17
OTSUKA CORP - PRICE TO BOOK VAL,2.39,3.32,2.74,3
NIKON CORPORATION - RETURN ON ASSETS,5.26,2,2.43,0.6
NIKON CORPORATION - TOTAL DEBT % COMMON EQUITY,23.25,20.2,20.87,25.69
NIKON CORPORATION - PRICE TO BOOK VAL,1.08,1.1,1.13,1.18
OKUMA CORP - RETURN ON ASSETS,4.75,6.16,6.86,4.99
OKUMA CORP - TOTAL DEBT % COMMON EQUITY,19.29,14.09,9.73,10.33
OKUMA CORP - PRICE TO BOOK VAL,1.16,1.68,0.93,1.06
SUMITOMO HEAVY INDS. - RETURN ON ASSETS,2.87,3.45,4.44,4.45
SUMITOMO HEAVY INDS. - TOTAL DEBT % COMMON EQUITY,34.69,25.23,20.48,17.54
SUMITOMO HEAVY INDS. - PRICE TO BOOK VAL,0.74,1.29,0.81,0.98
"PARK24 CO., LTD. - RETURN ON ASSETS",8.07,8.33,9.46,6.72
"PARK24 CO., LTD. - TOTAL DEBT % COMMON EQUITY",77.19,77.73,66.79,155.12
"PARK24 CO., LTD. - PRICE TO BOOK VAL",4.31,5.1,6.51,5.79
SAPPORO HOLDINGS LTD - RETURN ON ASSETS,0.07,1.17,1.72,1.92
SAPPORO HOLDINGS LTD - TOTAL DEBT % COMMON EQUITY,184.88,174.6,175.08,157.49
SAPPORO HOLDINGS LTD - PRICE TO BOOK VAL,1.07,1.17,1.43,1.44
MITSUI CHEMICALS INC - RETURN ON ASSETS,-1.29,1.57,2.08,5.43
MITSUI CHEMICALS INC - TOTAL DEBT % COMMON EQUITY,164.74,135.07,123.83,97.82
MITSUI CHEMICALS INC - PRICE TO BOOK VAL,0.61,1.06,0.85,1.08
PEPTIDREAM - RETURN ON ASSETS,2.49,14.62,16.06,14.78
PEPTIDREAM - TOTAL DEBT % COMMON EQUITY,0,0,0,0
PEPTIDREAM - PRICE TO BOOK VAL,12.28,21.55,32.07,29.3
"KOITO MFG. CO., LTD. - RETURN ON ASSETS",4.9,6.94,8.08,9.27
"KOITO MFG. CO., LTD. - TOTAL DEBT % COMMON EQUITY",19.81,15.44,14.42,10.44
"KOITO MFG. CO., LTD. - PRICE TO BOOK VAL",1.29,2.6,2.39,2.3
